Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_0,512,0.2,0.001,0.001,64,0,98,273.65437306513013,0.151,0.409,0.452,0.661,0.34,0.807,0.836
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_1,512,0.2,0.001,0.001,64,1,177,227.74588481818643,0.123,0.534,0.661,0.726,0.405,0.902,0.924
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_2,512,0.2,0.001,0.001,64,2,143,278.87499323937686,0.115,0.432,0.689,0.77,0.315,0.872,0.888
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_3,512,0.2,0.001,0.001,64,3,153,290.89956917995084,0.12,0.406,0.721,0.77,0.302,0.8,0.877
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_4,512,0.2,0.001,0.001,64,4,131,357.1036951959858,0.202,0.43,0.672,0.787,0.324,0.842,0.881
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_5,512,0.2,0.001,0.001,64,5,162,365.5726557349609,0.094,0.411,0.721,0.787,0.321,0.811,0.883
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_6,512,0.2,0.001,0.001,64,6,177,371.11342012010516,0.15,0.484,0.623,0.803,0.444,0.665,0.872
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_7,512,0.2,0.001,0.001,64,7,138,475.20536480544547,0.105,0.318,0.656,0.787,0.228,0.768,0.835
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_8,512,0.2,0.001,0.001,64,8,95,442.4205012652429,0.092,0.312,0.508,0.639,0.2,0.775,0.82
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_9,512,0.2,0.001,0.001,64,9,129,275.44691638744945,0.101,0.568,0.738,0.852,0.556,0.81,0.888
