Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/min/atom_mccbce/train/512_1e-01_1e-03_1e-03_16_9,512,0.1,0.001,0.001,16,9,91,71.1273746520598,0.084,0.587,0.754,0.82,0.534,0.887,0.902
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_9,512,0.2,0.001,0.001,64,9,129,275.44691638744945,0.101,0.568,0.738,0.852,0.556,0.81,0.888
output/zaretzki/min/atom_mccbce/train/128_3e-01_1e-02_1e-03_64_1,128,0.3,0.01,0.001,64,1,133,226.24145465903598,0.184,0.558,0.613,0.855,0.435,0.894,0.929
output/zaretzki/min/atom_mccbce/train/512_1e-01_1e-03_1e-03_64_9,512,0.1,0.001,0.001,64,9,181,239.70228256634175,0.098,0.556,0.754,0.869,0.485,0.923,0.903
output/zaretzki/min/atom_mccbce/train/256_2e-01_1e-03_1e-03_16_9,256,0.2,0.001,0.001,16,9,121,64.40336522684079,0.082,0.555,0.623,0.787,0.494,0.901,0.893
output/zaretzki/min/atom_mccbce/train/256_1e-01_1e-03_1e-03_64_1,256,0.1,0.001,0.001,64,1,180,239.65604390932342,0.197,0.552,0.629,0.79,0.439,0.87,0.921
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_16_1,512,0.2,0.001,0.001,16,1,162,57.07356432595216,0.164,0.546,0.645,0.742,0.436,0.862,0.924
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_32_1,512,0.2,0.001,0.001,32,1,134,118.11522468572623,0.192,0.54,0.613,0.758,0.411,0.902,0.925
output/zaretzki/min/atom_mccbce/train/128_2e-01_1e-03_1e-03_64_1,128,0.2,0.001,0.001,64,1,180,253.4175357584548,0.262,0.535,0.516,0.742,0.446,0.813,0.911
output/zaretzki/min/atom_mccbce/train/512_2e-01_1e-03_1e-03_64_1,512,0.2,0.001,0.001,64,1,177,227.74588481818643,0.123,0.534,0.661,0.726,0.405,0.902,0.924
