Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_0,512,0.1,0.001,0.001,16,0,78,75.2943690697173,0.104,0.397,0.484,0.71,0.338,0.782,0.839
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_1,512,0.1,0.001,0.001,16,1,103,57.014312186238,0.148,0.526,0.645,0.79,0.404,0.886,0.913
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_2,512,0.1,0.001,0.001,16,2,103,71.6067875076177,0.19,0.447,0.738,0.918,0.361,0.782,0.897
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_3,512,0.1,0.001,0.001,16,3,78,68.9780236489358,0.159,0.474,0.689,0.852,0.358,0.831,0.898
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_4,512,0.1,0.001,0.001,16,4,67,84.6291265003068,0.139,0.471,0.672,0.803,0.388,0.778,0.884
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_5,512,0.1,0.001,0.001,16,5,76,93.4006211296812,0.198,0.485,0.705,0.82,0.466,0.663,0.87
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_6,512,0.1,0.001,0.001,16,6,131,88.0680699014623,0.12,0.495,0.754,0.852,0.396,0.789,0.891
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_7,512,0.1,0.001,0.001,16,7,81,119.174998255843,0.041,0.337,0.623,0.77,0.236,0.797,0.852
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_8,512,0.1,0.001,0.001,16,8,89,101.316401751801,0.147,0.393,0.525,0.705,0.277,0.748,0.875
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-03_16_9,512,0.1,0.001,0.001,16,9,67,68.0744239845622,0.104,0.554,0.754,0.885,0.517,0.852,0.893
