Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC3/bce/train/256_2e-01_1e-02_1e-03_16_1,256,0.2,0.01,0.001,16,1,55,58.5000382497005,0.244,0.597,0.581,0.839,0.5,0.854,0.932
output/zaretzki/FC3/bce/train/128_1e-01_1e-03_1e-02_32_1,128,0.1,0.001,0.01,32,1,159,115.061767164915,0.151,0.586,0.645,0.806,0.466,0.894,0.931
output/zaretzki/FC3/bce/train/256_1e-01_1e-03_1e-03_64_1,256,0.1,0.001,0.001,64,1,248,217.861486458359,0.194,0.584,0.597,0.806,0.488,0.846,0.927
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-04_32_1,512,0.1,0.001,0.0001,32,1,97,119.020206217743,0.22,0.575,0.597,0.806,0.486,0.829,0.925
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-04_16_5,512,0.1,0.001,0.0001,16,5,87,91.8829194229408,0.25,0.573,0.689,0.852,0.604,0.646,0.876
output/zaretzki/FC3/bce/train/128_3e-01_1e-03_1e-03_32_1,128,0.3,0.001,0.001,32,1,174,115.230434345,0.193,0.573,0.629,0.79,0.471,0.854,0.919
output/zaretzki/FC3/bce/train/32_1e-01_1e-02_1e-04_64_1,32,0.1,0.01,0.0001,64,1,75,236.632090554851,0.249,0.573,0.645,0.79,0.475,0.846,0.917
output/zaretzki/FC3/bce/train/512_1e-01_1e-03_1e-04_64_9,512,0.1,0.001,0.0001,64,9,153,254.653298173449,0.11,0.573,0.721,0.869,0.586,0.768,0.897
output/zaretzki/FC3/bce/train/64_2e-01_1e-03_1e-02_64_1,64,0.2,0.001,0.01,64,1,214,234.040559657238,0.196,0.572,0.661,0.774,0.458,0.878,0.924
output/zaretzki/FC3/bce/train/256_1e-01_1e-03_1e-03_16_1,256,0.1,0.001,0.001,16,1,117,56.1922648885838,0.154,0.571,0.677,0.806,0.465,0.862,0.923
