Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_0,256,0.2,0.001,0.001,16,0,150,94.53408697370399,0.085,0.374,0.629,0.746,0.307,0.819,0.833
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_1,256,0.2,0.001,0.001,16,1,87,126.33935082308643,0.07,0.349,0.556,0.724,0.293,0.752,0.819
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_2,256,0.2,0.001,0.001,16,2,155,80.65937109099995,0.144,0.404,0.592,0.76,0.325,0.716,0.861
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_3,256,0.2,0.001,0.001,16,3,98,84.80832464507724,0.074,0.368,0.531,0.689,0.26,0.855,0.857
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_4,256,0.2,0.001,0.001,16,4,108,104.91005530255536,0.092,0.345,0.551,0.714,0.268,0.775,0.825
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_5,256,0.2,0.001,0.001,16,5,54,94.2840325030006,0.074,0.238,0.327,0.464,0.159,0.756,0.778
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_6,256,0.2,0.001,0.001,16,6,70,98.32548871168208,0.122,0.313,0.439,0.592,0.247,0.702,0.788
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_7,256,0.2,0.001,0.001,16,7,75,100.40507520309593,0.091,0.305,0.403,0.556,0.214,0.76,0.813
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_8,256,0.2,0.001,0.001,16,8,124,63.85884556260487,0.147,0.357,0.495,0.709,0.24,0.793,0.872
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_9,256,0.2,0.001,0.001,16,9,63,76.39192232206165,0.156,0.292,0.337,0.5,0.215,0.678,0.785
