Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/metaQSAR/train/512_3e-01_1e-03_1e-03_32_2,512,0.3,0.001,0.001,32,2,156,161.34070741119157,0.141,0.411,0.617,0.735,0.312,0.775,0.864
output/metaQSAR/train/256_2e-01_1e-03_1e-03_16_2,256,0.2,0.001,0.001,16,2,155,80.65937109099995,0.144,0.404,0.592,0.76,0.325,0.716,0.861
output/metaQSAR/train/256_1e-01_1e-02_1e-03_32_3,256,0.1,0.01,0.001,32,3,110,161.504708989871,0.116,0.402,0.556,0.765,0.301,0.809,0.861
output/metaQSAR/train/512_1e-01_1e-03_1e-03_64_3,512,0.1,0.001,0.001,64,3,142,329.5703089685282,0.108,0.402,0.556,0.704,0.307,0.791,0.863
output/metaQSAR/train/512_1e-01_1e-03_1e-03_32_2,512,0.1,0.001,0.001,32,2,206,157.82672509392094,0.107,0.395,0.628,0.75,0.284,0.818,0.877
output/metaQSAR/train/32_1e-01_1e-03_1e-03_16_3,32,0.1,0.001,0.001,16,3,135,85.67473968440025,0.119,0.393,0.49,0.694,0.312,0.752,0.844
output/metaQSAR/train/512_2e-01_1e-03_1e-03_16_2,512,0.2,0.001,0.001,16,2,203,79.17104707038314,0.096,0.393,0.643,0.781,0.281,0.82,0.874
output/metaQSAR/train/64_1e-01_1e-02_1e-03_64_3,64,0.1,0.01,0.001,64,3,95,342.807766710942,0.13,0.391,0.449,0.673,0.306,0.763,0.846
output/metaQSAR/train/256_1e-01_1e-02_1e-03_64_3,256,0.1,0.01,0.001,64,3,54,335.0673806046178,0.095,0.391,0.551,0.73,0.291,0.814,0.856
output/metaQSAR/train/256_3e-01_1e-03_1e-03_16_3,256,0.3,0.001,0.001,16,3,120,83.75461389009983,0.099,0.39,0.5,0.699,0.287,0.823,0.85
