Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_0,512,0.1,0.001,0.001,16,0,89,65.9648338623422,0.151,0.408,0.452,0.774,0.331,0.832,0.849
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_1,512,0.1,0.001,0.001,16,1,203,60.4437803114582,0.192,0.529,0.581,0.742,0.407,0.886,0.924
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_2,512,0.1,0.001,0.001,16,2,113,66.8995633994587,0.114,0.449,0.705,0.82,0.34,0.842,0.898
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_3,512,0.1,0.001,0.001,16,3,115,69.1971364170829,0.173,0.46,0.738,0.82,0.377,0.746,0.889
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_4,512,0.1,0.001,0.001,16,4,115,87.6740812015558,0.114,0.473,0.656,0.77,0.385,0.791,0.882
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_5,512,0.1,0.001,0.001,16,5,112,88.2694731964096,0.089,0.451,0.623,0.754,0.355,0.823,0.89
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_6,512,0.1,0.001,0.001,16,6,149,90.8521072037215,0.172,0.496,0.705,0.836,0.449,0.683,0.882
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_7,512,0.1,0.001,0.001,16,7,84,113.425788337837,0.059,0.317,0.672,0.82,0.212,0.836,0.849
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_8,512,0.1,0.001,0.001,16,8,64,106.931146042095,0.046,0.317,0.508,0.623,0.202,0.781,0.845
output/zaretzki/min/atom_bce/train/512_1e-01_1e-03_1e-03_16_9,512,0.1,0.001,0.001,16,9,91,72.2075978449082,0.075,0.555,0.754,0.803,0.508,0.873,0.894
