Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/atom_bce/models/128_1e-01_1e-03_1e-02_16_1,128,0.1,0.001,0.01,16,1,142,50.48213615628916,0.546,0.626,0.71,0.871,0.533,0.862,0.943
output/zaretzki/atom_bce/models/128_3e-01_1e-02_1e-03_64_1,128,0.3,0.01,0.001,64,1,136,210.2885085998247,0.537,0.621,0.71,0.823,0.491,0.927,0.95
output/zaretzki/atom_bce/models/64_3e-01_1e-02_1e-03_64_1,64,0.3,0.01,0.001,64,1,81,216.35354494506342,0.558,0.618,0.661,0.871,0.505,0.894,0.952
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_16_1,256,0.2,0.01,0.0001,16,1,74,56.01194884808102,0.554,0.606,0.661,0.823,0.502,0.87,0.938
output/zaretzki/atom_bce/models/256_3e-01_1e-03_1e-04_32_1,256,0.3,0.001,0.0001,32,1,124,128.82023571668861,0.575,0.601,0.71,0.806,0.505,0.854,0.93
output/zaretzki/atom_bce/models/64_1e-01_1e-03_1e-04_32_1,64,0.1,0.001,0.0001,32,1,147,114.41715778743209,0.551,0.6,0.71,0.806,0.482,0.894,0.93
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_1,256,0.2,0.01,0.0001,32,1,130,115.16780058706577,0.558,0.59,0.661,0.806,0.5,0.837,0.93
output/zaretzki/atom_bce/models/128_3e-01_1e-03_1e-02_16_1,128,0.3,0.001,0.01,16,1,194,56.445499491945235,0.557,0.59,0.645,0.806,0.5,0.837,0.931
output/zaretzki/atom_bce/models/512_2e-01_1e-02_1e-03_16_1,512,0.2,0.01,0.001,16,1,126,55.930030872798646,0.546,0.589,0.661,0.839,0.495,0.846,0.94
output/zaretzki/atom_bce/models/128_1e-01_1e-02_1e-03_32_9,128,0.1,0.01,0.001,32,9,41,128.1754091478914,0.531,0.587,0.623,0.803,0.55,0.859,0.885
