Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_0,256,0.2,0.01,0.0001,32,0,103,119.16257563954129,0.528,0.487,0.597,0.726,0.423,0.79,0.881
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_1,256,0.2,0.01,0.0001,32,1,130,115.16780058706577,0.558,0.59,0.661,0.806,0.5,0.837,0.93
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_2,256,0.2,0.01,0.0001,32,2,51,157.23776458569256,0.526,0.414,0.672,0.77,0.325,0.789,0.865
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_3,256,0.2,0.01,0.0001,32,3,32,151.4839282418633,0.55,0.455,0.672,0.852,0.35,0.8,0.886
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_4,256,0.2,0.01,0.0001,32,4,78,177.43296408710822,0.521,0.414,0.689,0.77,0.328,0.785,0.864
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_5,256,0.2,0.01,0.0001,32,5,115,197.11592888939163,0.528,0.439,0.672,0.836,0.401,0.68,0.852
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_6,256,0.2,0.01,0.0001,32,6,83,180.77538535962063,0.53,0.474,0.672,0.754,0.396,0.733,0.882
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_7,256,0.2,0.01,0.0001,32,7,41,239.2047359339849,0.549,0.349,0.639,0.77,0.283,0.661,0.828
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_8,256,0.2,0.01,0.0001,32,8,56,199.1654577935323,0.511,0.383,0.525,0.689,0.261,0.768,0.882
output/zaretzki/atom_bce/models/256_2e-01_1e-02_1e-04_32_9,256,0.2,0.01,0.0001,32,9,60,130.39179943637845,0.52,0.505,0.738,0.869,0.462,0.866,0.879
