Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/atom_mol_bce/models/512_1e-01_1e-03_1e-04_16_1,512,0.1,0.001,0.0001,16,1,33,62.6163158894808,0.556,0.574,0.548,0.79,0.508,0.789,0.908
output/zaretzki/atom_mol_bce/models/64_2e-01_1e-02_1e-02_16_1,64,0.2,0.01,0.01,16,1,42,63.8206824832758,0.525,0.519,0.629,0.726,0.406,0.862,0.915
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-04_16_9,512,0.2,0.01,0.0001,16,9,30,106.823372837287,0.506,0.514,0.754,0.852,0.494,0.817,0.858
output/zaretzki/atom_mol_bce/models/256_3e-01_1e-03_1e-02_64_1,256,0.3,0.001,0.01,64,1,79,272.59110333681,0.53,0.509,0.581,0.774,0.436,0.772,0.895
output/zaretzki/atom_mol_bce/models/512_1e-01_1e-02_1e-02_32_1,512,0.1,0.01,0.01,32,1,48,128.596705409888,0.541,0.509,0.5,0.742,0.436,0.772,0.895
output/zaretzki/atom_mol_bce/models/64_1e-01_1e-02_1e-04_16_1,64,0.1,0.01,0.0001,16,1,42,64.2764494594906,0.508,0.508,0.597,0.742,0.385,0.886,0.922
output/zaretzki/atom_mol_bce/models/512_1e-01_1e-02_1e-02_32_9,512,0.1,0.01,0.01,32,9,47,186.530426799716,0.504,0.507,0.672,0.885,0.452,0.894,0.86
output/zaretzki/atom_mol_bce/models/512_1e-01_1e-02_1e-04_32_9,512,0.1,0.01,0.0001,32,9,31,204.037123242883,0.528,0.507,0.639,0.836,0.467,0.859,0.859
output/zaretzki/atom_mol_bce/models/512_1e-01_1e-03_1e-03_16_1,512,0.1,0.001,0.001,16,1,33,64.6144905782998,0.54,0.505,0.581,0.774,0.416,0.805,0.9
output/zaretzki/atom_mol_bce/models/64_2e-01_1e-02_1e-03_64_1,64,0.2,0.01,0.001,64,1,43,281.581786980801,0.537,0.503,0.468,0.629,0.44,0.748,0.884
