Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_0,512,0.2,0.01,0.01,16,0,44,73.2928342979105,0.509,0.304,0.532,0.645,0.257,0.815,0.807
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_1,512,0.2,0.01,0.01,16,1,68,71.4976368427954,0.529,0.462,0.5,0.758,0.341,0.886,0.894
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_2,512,0.2,0.01,0.01,16,2,30,95.3155231626817,0.507,0.333,0.59,0.803,0.239,0.865,0.83
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_3,512,0.2,0.01,0.01,16,3,36,87.3165848996184,0.526,0.369,0.689,0.787,0.274,0.785,0.839
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_4,512,0.2,0.01,0.01,16,4,47,101.069580568557,0.577,0.461,0.689,0.787,0.454,0.62,0.852
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_5,512,0.2,0.01,0.01,16,5,32,116.052981876572,0.578,0.369,0.639,0.705,0.336,0.651,0.82
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_6,512,0.2,0.01,0.01,16,6,27,111.737800936383,0.552,0.407,0.525,0.689,0.342,0.683,0.836
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_7,512,0.2,0.01,0.01,16,7,28,131.418992699943,0.526,0.295,0.508,0.623,0.217,0.734,0.812
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_8,512,0.2,0.01,0.01,16,8,32,113.558355285592,0.523,0.259,0.508,0.705,0.16,0.788,0.829
output/zaretzki/atom_mol_bce/models/512_2e-01_1e-02_1e-02_16_9,512,0.2,0.01,0.01,16,9,43,88.8198996735742,0.505,0.476,0.639,0.77,0.427,0.887,0.844
