Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_0,32,0.1,0.01,0.001,32,0,57,0.5832731332732767,0.612,0.325,0.371,0.548,0.265,0.84,0.793
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_1,32,0.1,0.01,0.001,32,1,104,0.5103511503874929,0.582,0.39,0.387,0.645,0.283,0.87,0.836
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_2,32,0.1,0.01,0.001,32,2,92,0.47479762581183504,0.521,0.369,0.492,0.754,0.282,0.805,0.848
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_3,32,0.1,0.01,0.001,32,3,47,0.5924246966464245,0.559,0.281,0.344,0.508,0.195,0.846,0.793
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_4,32,0.1,0.01,0.001,32,4,71,0.5002124148208408,0.587,0.408,0.607,0.705,0.31,0.823,0.847
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_5,32,0.1,0.01,0.001,32,5,92,0.5119630234373028,0.54,0.344,0.426,0.656,0.279,0.76,0.82
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_6,32,0.1,0.01,0.001,32,6,55,0.5584318034810344,0.536,0.312,0.426,0.59,0.222,0.801,0.788
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_7,32,0.1,0.01,0.001,32,7,97,0.5560208124958742,0.54,0.299,0.311,0.492,0.225,0.712,0.797
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_8,32,0.1,0.01,0.001,32,8,67,0.6515910600954493,0.211,0.285,0.393,0.607,0.189,0.728,0.828
output/zaretzki/FC1/weight_bce/train/32_1e-01_1e-02_1e-03_32_9,32,0.1,0.01,0.001,32,9,79,0.48920841136957416,0.37,0.426,0.574,0.787,0.377,0.915,0.832
