Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC2/bce/train/128_1e-01_1e-02_1e-03_16_1,128,0.1,0.01,0.001,16,1,85,58.4681499994227,0.23,0.615,0.71,0.806,0.514,0.87,0.927
output/zaretzki/FC2/bce/train/128_1e-01_1e-02_1e-04_16_1,128,0.1,0.01,0.0001,16,1,64,58.2331197352002,0.156,0.598,0.645,0.871,0.484,0.886,0.933
output/zaretzki/FC2/bce/train/256_1e-01_1e-02_1e-04_16_1,256,0.1,0.01,0.0001,16,1,87,59.0992784275312,0.27,0.587,0.629,0.774,0.476,0.878,0.935
output/zaretzki/FC2/bce/train/256_3e-01_1e-02_1e-04_16_1,256,0.3,0.01,0.0001,16,1,114,59.6547526196989,0.289,0.582,0.645,0.742,0.513,0.797,0.915
output/zaretzki/FC2/bce/train/128_3e-01_1e-02_1e-04_32_1,128,0.3,0.01,0.0001,32,1,85,124.881254340978,0.159,0.581,0.661,0.823,0.453,0.911,0.917
output/zaretzki/FC2/bce/train/256_1e-01_1e-02_1e-03_16_1,256,0.1,0.01,0.001,16,1,114,58.5703729464082,0.216,0.577,0.645,0.774,0.493,0.821,0.917
output/zaretzki/FC2/bce/train/128_1e-01_1e-02_1e-04_64_1,128,0.1,0.01,0.0001,64,1,71,242.645971699855,0.163,0.577,0.629,0.79,0.456,0.894,0.925
output/zaretzki/FC2/bce/train/128_1e-01_1e-02_1e-04_32_1,128,0.1,0.01,0.0001,32,1,59,113.693359501793,0.185,0.573,0.694,0.823,0.437,0.927,0.933
output/zaretzki/FC2/bce/train/64_1e-01_1e-03_1e-03_64_1,64,0.1,0.001,0.001,64,1,190,223.34877538698,0.144,0.57,0.71,0.839,0.456,0.878,0.925
output/zaretzki/FC2/bce/train/64_1e-01_1e-02_1e-04_16_1,64,0.1,0.01,0.0001,16,1,113,58.8993891196295,0.176,0.567,0.661,0.855,0.477,0.829,0.924
