Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_0,128,0.1,0.001,0.0001,16,0,56,74.6948837979835,0.066,0.341,0.419,0.694,0.266,0.882,0.811
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_1,128,0.1,0.001,0.0001,16,1,108,62.6586828011669,0.114,0.546,0.581,0.855,0.436,0.862,0.915
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_2,128,0.1,0.001,0.0001,16,2,118,71.7005160668523,0.072,0.455,0.787,0.836,0.351,0.827,0.891
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_3,128,0.1,0.001,0.0001,16,3,57,72.8398053898972,0.166,0.459,0.738,0.869,0.363,0.777,0.873
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_4,128,0.1,0.001,0.0001,16,4,56,91.2041091945228,0.075,0.349,0.705,0.787,0.263,0.816,0.848
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_5,128,0.1,0.001,0.0001,16,5,116,91.7969310278742,0.12,0.509,0.672,0.803,0.468,0.714,0.885
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_6,128,0.1,0.001,0.0001,16,6,95,97.3393011241451,0.1,0.413,0.656,0.787,0.308,0.795,0.868
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_7,128,0.1,0.001,0.0001,16,7,88,115.597348303136,0.036,0.337,0.623,0.77,0.221,0.859,0.852
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_8,128,0.1,0.001,0.0001,16,8,51,111.13063804001,0.024,0.316,0.508,0.607,0.2,0.788,0.856
output/zaretzki/FC2/bce/train/128_1e-01_1e-03_1e-04_16_9,128,0.1,0.001,0.0001,16,9,76,70.343251998896,0.085,0.519,0.77,0.885,0.478,0.859,0.877
