Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/min/mol_bce/train/64_1e-01_1e-02_1e-03_32_1,64,0.1,0.01,0.001,32,1,79,116.905382634399,0.185,0.573,0.661,0.774,0.471,0.854,0.932
output/zaretzki/min/mol_bce/train/128_3e-01_1e-03_1e-03_16_1,128,0.3,0.001,0.001,16,1,107,58.5185897547759,0.204,0.564,0.645,0.823,0.457,0.862,0.929
output/zaretzki/min/mol_bce/train/512_3e-01_1e-02_1e-03_32_4,512,0.3,0.01,0.001,32,4,80,168.454259365759,0.202,0.557,0.721,0.803,0.483,0.791,0.886
output/zaretzki/min/mol_bce/train/256_1e-01_1e-03_1e-03_32_9,256,0.1,0.001,0.001,32,9,99,137.668159028855,0.083,0.536,0.639,0.902,0.506,0.838,0.885
output/zaretzki/min/mol_bce/train/512_2e-01_1e-03_1e-03_32_9,512,0.2,0.001,0.001,32,9,75,147.053735479428,0.096,0.529,0.623,0.754,0.496,0.845,0.864
output/zaretzki/min/mol_bce/train/512_2e-01_1e-02_1e-03_16_9,512,0.2,0.01,0.001,16,9,77,65.3818178714513,0.101,0.523,0.656,0.82,0.464,0.901,0.872
output/zaretzki/min/mol_bce/train/64_2e-01_1e-02_1e-03_32_9,64,0.2,0.01,0.001,32,9,59,130.791663754369,0.103,0.522,0.738,0.836,0.482,0.859,0.881
output/zaretzki/min/mol_bce/train/256_1e-01_1e-02_1e-03_32_1,256,0.1,0.01,0.001,32,1,81,115.929244931533,0.139,0.511,0.581,0.774,0.381,0.902,0.919
output/zaretzki/min/mol_bce/train/512_1e-01_1e-03_1e-03_16_1,512,0.1,0.001,0.001,16,1,102,57.5989710668093,0.198,0.508,0.645,0.742,0.406,0.837,0.92
output/zaretzki/min/mol_bce/train/512_1e-01_1e-02_1e-03_32_9,512,0.1,0.01,0.001,32,9,57,148.610729683,0.087,0.506,0.623,0.803,0.485,0.817,0.858
