Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_0,256,0.2,0.001,0.001,16,0,88,75.2576029436874,0.079,0.355,0.435,0Score.597,0.295,0.807,0.806
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_1,256,0.2,0.001,0.001,16,1,108,58.651257048092,0.111,0.494,0.565,0.774,0.353,0.935,0.915
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_2,256,0.2,0.001,0.001,16,2,87,70.3927317536776,0.11,0.399,0.705,0.852,0.296,0.842,0.883
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_3,256,0.2,0.001,0.001,16,3,70,74.6924940284032,0.109,0.369,0.656,0.803,0.253,0.862,0.877
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_4,256,0.2,0.001,0.001,16,4,106,84.1735507948465,0.125,0.427,0.623,0.836,0.325,0.829,0.879
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_5,256,0.2,0.001,0.001,16,5,100,100.359449671911,0.119,0.431,0.59,0.754,0.39,0.686,0.864
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_6,256,0.2,0.001,0.001,16,6,69,96.6309567151113,0.146,0.419,0.639,0.803,0.326,0.758,0.866
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_7,256,0.2,0.001,0.001,16,7,81,106.933748622594,0.058,0.348,0.607,0.721,0.227,0.87,0.868
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_8,256,0.2,0.001,0.001,16,8,63,104.153853255926,0.077,0.35,0.525,0.689,0.241,0.735,0.86
output/zaretzki/min/mol_bce/train/256_2e-01_1e-03_1e-03_16_9,256,0.2,0.001,0.001,16,9,82,72.1616752023604,0.152,0.464,0.639,0.721,0.473,0.754,0.837
