Results Folder,Dimension of Hidden Layers,Dropout,Learning Rate,Weight Decay,Batch Size,Fold,Epochs,Validation Loss,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Precision,Recall,ROC AUC Score
output/zaretzki/FC1/bce/train/256_2e-01_1e-03_1e-03_64_9,256,0.2,0.001,0.001,64,9,176,269.769904064111,0.152,0.581,0.721,0.836,0.596,0.768,0.881
output/zaretzki/FC1/bce/train/64_1e-01_1e-03_1e-04_16_9,64,0.1,0.001,0.0001,16,9,146,63.391619965404,0.099,0.572,0.754,0.885,0.533,0.859,0.913
output/zaretzki/FC1/bce/train/512_2e-01_1e-03_1e-03_32_9,512,0.2,0.001,0.001,32,9,141,130.525098687434,0.134,0.571,0.689,0.754,0.555,0.817,0.89
output/zaretzki/FC1/bce/train/256_1e-01_1e-03_1e-03_64_1,256,0.1,0.001,0.001,64,1,180,241.359297775198,0.219,0.571,0.581,0.742,0.469,0.854,0.919
output/zaretzki/FC1/bce/train/256_1e-01_1e-03_1e-04_16_9,256,0.1,0.001,0.0001,16,9,139,66.1242560732888,0.143,0.56,0.738,0.754,0.578,0.754,0.883
output/zaretzki/FC1/bce/train/64_1e-01_1e-02_1e-04_32_1,64,0.1,0.01,0.0001,32,1,106,116.149311717977,0.204,0.56,0.661,0.774,0.444,0.878,0.929
output/zaretzki/FC1/bce/train/512_3e-01_1e-02_1e-03_64_1,512,0.3,0.01,0.001,64,1,98,248.198190580929,0.238,0.56,0.597,0.758,0.426,0.919,0.928
output/zaretzki/FC1/bce/train/256_1e-01_1e-03_1e-03_16_9,256,0.1,0.001,0.001,16,9,142,67.6338920342292,0.051,0.558,0.672,0.82,0.48,0.937,0.909
output/zaretzki/FC1/bce/train/512_2e-01_1e-03_1e-03_16_1,512,0.2,0.001,0.001,16,1,165,54.75848493424,0.151,0.557,0.629,0.694,0.453,0.854,0.927
output/zaretzki/FC1/bce/train/32_1e-01_1e-02_1e-04_32_1,32,0.1,0.01,0.0001,32,1,92,116.985301108195,0.153,0.557,0.613,0.774,0.433,0.894,0.927
